Remembrance of the Daleks / Prisoner of the Daleks,2016,Ben,Aaronovitch
Rivers of London,2011,Ben,Aaronovitch
Moon Over Soho,2011,Ben,Aaronovitch
Whispers Under Ground,2012,Ben,Aaronovitch
Broken Homes,2012,Ben,Aaronovitch
Foxglove Summer,2012,Ben,Aaronovitch
The Furthest Station,2017,Ben,Aaronovitch
The Hanging Tree,2016,Ben,Aaronovitch
The P C Grant Novels Books 1-3,2013,Ben,Aaronovitch
The PC Grant Novels Books 1-4,2015,Ben,Aaronovitch
Transit,1992,Ben,Aaronovitch
The Also People,1995,Ben,Aaronovitch
So Vile a Sin,1996,Ben,Aaronovitch
Genius Loci,2007,Ben,Aaronovitch
Stealer's Sky,1989,Lynn,Abbey
Daughter of the Bright Moon,1979,Lynn,Abbey
The Black Flame,1980,Lynn,Abbey
Rifkind's Challenge,2006,Lynn,Abbey
Unicorn and Dragon,1987,Lynn,Abbey
The Green Man,1988,Lynn,Abbey
The Forge of Virtue,1991,Lynn,Abbey
The Temper of Wisdom,1992,Lynn,Abbey
The Wooden Sword,1991,Lynn,Abbey
Beneath the Web,1994,Lynn,Abbey
Out of Time,2000,Lynn,Abbey
Behind Time,2001,Lynn,Abbey
Taking Time,2004,Lynn,Abbey
Down Time,2005,Lynn,Abbey
The Guardians,1982,Lynn,Abbey
Catwoman,1992,Lynn,Abbey
The Face of Chaos,1983,Lynn,Abbey
The Dead of Winter,1985,Lynn,Abbey
Blood Ties,1986,Lynn,Abbey
Uneasy Alliances,1988,Lynn,Abbey
Turning Points,2002,Lynn,Abbey
Enemies of Fortune,2004,Lynn,Abbey
The Shattered Sphere,1986,Lynn,Abbey
First Blood,2003,Lynn,Abbey
The Brazen Gambit,1994,Lynn,Abbey
Cinnabar Shadows,1995,Lynn,Abbey
The Rise and Fall of a Dragon King,1996,Lynn,Abbey
Planeswalker,1998,Lynn,Abbey
Artifacts Cycle II,2009,Lynn,Abbey
Sanctuary,2002,Lynn,Abbey
Do Unto Others,1994,Jeff,Abbott
The Only Good Yankee,1995,Jeff,Abbott
Promises of Home,1996,Jeff,Abbott
Distant Blood,1996,Jeff,Abbott
